id,name,qoh,qa,qoo,avail,limit,price
14346,Huggies Diapers Size 3,0.0000,9.0000,0.0000,-9.0000,3,1.44
144159,Pancake Mix,19.0000,2.0000,0.0000,17.0000,0,190.40
14520,Power Gel Chocolate Bars,30.0000,30.0000,0.0000,0.0000,0,1.60
149121,Non Fat Dry Milk,16.0000,16.0000,0.0000,0.0000,0,1.12
15011,Sunny D Watermelon,230.0000,106.0000,0.0000,124.0000,0,5.92
15958,Chicken Alfredo,1911.0000,240.0000,0.0000,1671.0000,0,3.36
17747,Wavy Ranch Chips,5.0000,0.0000,0.0000,5.0000,0,0.00
17796,Dry Gravy Mix,1224.0000,39.0000,0.0000,1185.0000,0,0.00
18001,French Vanilla Coffee Creamer,289.0000,0.0000,0.0000,289.0000,0,0.96
18285,Beef Franks,1.0000,1.0000,0.0000,0.0000,0,5.76
184590,Solo Cups,13.0000,0.0000,0.0000,13.0000,0,0.00
18627,Go Lean Crunch Bars,11.0000,0.0000,0.0000,11.0000,0,0.00
18707,Vanilla Wafers,38.0000,0.0000,0.0000,38.0000,0,0.00
88251,Ice Pops,125.0000,0.0000,0.0000,125.0000,0,4.00
188280,Croissant,110.0000,60.0000,0.0000,50.0000,0,4.00
18922,Sour cream & onion chips,4.0000,0.0000,0.0000,4.0000,0,1.28
19300,BBQ Peperoni Bread Sticks,60.0000,0.0000,0.0000,60.0000,0,1.12
19889,Instant Oatmeal Variety Packs,637.0000,628.0000,0.0000,9.0000,0,1.76
200190,French Fried Potatoes,0.0000,3.0000,0.0000,-3.0000,0,6.72
200480,Trident Gum,20.0000,0.0000,0.0000,20.0000,0,0.80
201301,Cinnamon Brown Sugar,12.0000,0.0000,0.0000,12.0000,0,3.36
20332,Chicken Sausage Patties,5.0000,0.0000,0.0000,5.0000,0,1.76
20372,Beef Sirlon Steak Portion,86.0000,0.0000,0.0000,86.0000,0,1.76
20465,Chocolate Almond Raisin Bars,41.0000,41.0000,0.0000,0.0000,0,3.04
20593,Hawaiian Sweet Rolls,345.0000,0.0000,0.0000,345.0000,0,0.00
20674,Coffee mate original,48.0000,0.0000,0.0000,48.0000,0,3.36
218097,Organic 1% Low Fat Milk,21.0000,0.0000,0.0000,21.0000,0,2.24
22646,Chicken Pasta Meal,67.0000,0.0000,0.0000,67.0000,0,0.00
22701,Chicken Marsala Potato Meal,109.0000,0.0000,0.0000,109.0000,0,0.00
22758,Italian-Style Wedding Soup,201.0000,0.0000,0.0000,201.0000,0,1.12
23003,Strawberry jam (K),8.0000,0.0000,0.0000,8.0000,0,1.12
